id,genre
0,Rap/Hip Hop
1,Electro
2,Dance
3,Dance
4,Dance
5,Films/Games
6,Reggae
7,Dancefloor
8,Dance
9,Pop
10,Rap/Hip Hop
11,Indie Rock
12,Films/Games
13,Pop
14,Films/Games
15,Rap/Hip Hop
16,Films/Games
17,Reggae
18,Rap/Hip Hop
19,Films/Games
20,Film Scores
21,Dance
22,R&amp;B
23,Dance
24,Rap/Hip Hop
25,Rap/Hip Hop
26,Films/Games
27,Dance
28,Dance
29,Rap/Hip Hop
30,Dance
31,Dance
32,International Pop
33,Spirituality &amp; Religion
34,Metal
35,Dance
36,Dance
37,Dancefloor
38,Films/Games
39,Dirty South
40,R&amp;B
41,Films/Games
42,Indie Rock
43,Dance
44,Pop
45,Comedy
46,Comedy
47,Films/Games
48,Spirituality &amp; Religion
49,Rap/Hip Hop
50,Reggae
51,Dance
52,Dance
53,Jazz
54,Dance
55,Dancefloor
56,International Pop
57,Alternative
58,Films/Games
59,Dance
60,Pop
61,Pop
62,Dance
63,Rap/Hip Hop
64,Pop
65,Classical
66,International Pop
67,Rap/Hip Hop
68,Electro
69,Dance
70,Alternative
71,Films/Games
72,Films/Games
73,Rap/Hip Hop
74,Rock &amp; Roll/Rockabilly
75,Dance
76,Films/Games
77,Rap/Hip Hop
78,Dance
79,Dance
80,Rock
81,Indie Rock
82,Rap/Hip Hop
83,Indie Rock
84,Dancefloor
85,Films/Games
86,Dance
87,Films/Games
88,Dance
89,Comedy
90,Techno/House
91,Comedy
92,Dance
93,Dance
94,Dancefloor
95,Alternative
96,Dance
97,Pop
98,Rap/Hip Hop
99,Film Scores
100,Hard Rock
101,Rap/Hip Hop
102,Dancefloor
103,Dance
104,Reggae
105,Indie Pop/Folk
106,Alternative
107,Reggae
108,Dance
109,Dance
110,Films/Games
111,Dance
112,Rap/Hip Hop
113,Films/Games
114,Alternative
115,Pop
116,Films/Games
117,Pop
118,Pop
119,Indie Rock
120,Films/Games
121,International Pop
122,Films/Games
123,Pop
124,International Pop
125,Indie Pop/Folk
126,Alternative
127,Films/Games
128,Rock
129,Dancefloor
130,Dance
131,Rap/Hip Hop
132,Rap/Hip Hop
133,Rock
134,Dance
135,Dance
136,Rap/Hip Hop
137,Pop
138,Dance
139,Rock &amp; Roll/Rockabilly
140,Dance
141,Techno/House
142,Singer &amp; Songwriter
143,Alternative
144,Techno/House
145,Techno/House
146,Pop
147,Dance
148,Rap/Hip Hop
149,Rock
150,Dance
151,Dance
152,Rap/Hip Hop
153,Dance
154,Hard Rock
155,Pop
156,Jazz Hip Hop
157,Alternative
158,Rap/Hip Hop
159,Dance
160,Films/Games
161,Films/Games
162,Dancefloor
163,Indie Rock
164,Rap/Hip Hop
165,Pop
166,Techno/House
167,Indie Rock
168,Reggae
169,Alternative
170,Films/Games
171,Rap/Hip Hop
172,Reggae
173,Films/Games
174,Dance
175,Techno/House
176,R&amp;B
177,Comedy
178,International Pop
179,Rap/Hip Hop
180,Films/Games
181,Pop
182,Dirty South
183,Jazz
184,Rap/Hip Hop
185,Dance
186,Dance
187,Dancefloor
188,Pop
189,R&amp;B
190,Pop
191,Dancefloor
192,Dance
193,Film Scores
194,Dancefloor
195,Dance
196,Rap/Hip Hop
197,Dance
198,Films/Games
199,Reggae
200,Films/Games
201,Rap/Hip Hop
202,Kids
203,Dance
204,Alternative
205,Pop
206,Dance
207,Dancefloor
208,Metal
209,Dancefloor
210,Rap/Hip Hop
211,Alternative
212,Dance
213,Dance
214,Reggae
215,R&amp;B
216,Pop
217,Dance
218,Dance
219,Indie Rock
220,International Pop
221,Hard Rock
222,Indie Rock
223,International Pop
224,Rap/Hip Hop
225,Film Scores
226,Dance
227,Pop
228,Pop
229,Dance
230,Films/Games
231,Pop
232,R&amp;B
233,Indie Rock
234,Indie Rock
235,Dance
236,Dance
237,Rap/Hip Hop
238,Dance
239,Indie Rock
240,Comedy
241,Pop
242,Dance
243,Dance
244,Dance
245,Reggae
246,Brazilian Music
247,International Pop
248,Rap/Hip Hop
249,Rap/Hip Hop
250,Rap/Hip Hop
251,Film Scores
252,Films/Games
253,Pop
254,Techno/House
255,Films/Games
256,Pop
257,Dancefloor
258,Dancefloor
259,Dirty South
260,Jazz
261,Reggae
262,Techno/House
263,Alternative
264,Dance
265,Rap/Hip Hop
266,Alternative
267,Rap/Hip Hop
268,Rap/Hip Hop
269,Dance
270,Jazz
271,R&amp;B
272,Pop
273,Indie Rock
274,Films/Games
275,Films/Games
276,Rap/Hip Hop
277,Alternative
278,Indie Rock/Rock pop
279,Dance
280,Pop
281,Rap/Hip Hop
282,Rap/Hip Hop
283,Dancefloor
284,Latin Music
285,Chill Out/Trip-Hop/Lounge
286,Indie Rock
287,Techno/House
288,Techno/House
289,Films/Games
290,Pop
291,Classical
292,Dance
293,Rap/Hip Hop
294,Films/Games
295,Dance
296,Rap/Hip Hop
297,Films/Games
298,Films/Games
299,R&amp;B
300,R&amp;B
301,Films/Games
302,Soul &amp; Funk
303,Films/Games
304,Rap/Hip Hop
305,Indie Rock
306,Rap/Hip Hop
307,Rap/Hip Hop
308,Rap/Hip Hop
309,Dance
310,Dance
311,Dance
312,Dance
313,International Pop
314,Dance
315,Techno/House
316,R&amp;B
317,Film Scores
318,Hard Rock
319,Dance
320,Dance
321,Indie Pop/Folk
322,Dance
323,Films/Games
324,Films/Games
325,Films/Games
326,Dance
327,Comedy
328,Pop
329,Alternative
330,Dance
331,Films/Games
332,Rap/Hip Hop
333,Metal
334,Reggae
335,Pop
336,Alternative
337,Rap/Hip Hop
338,Pop
339,Techno/House
340,Dancefloor
341,Pop
342,Dirty South
343,Dance
344,Dance
345,Pop
346,Alternative
347,Films/Games
348,Films/Games
349,Pop
350,Alternative
351,Techno/House
352,Rap/Hip Hop
353,Dance
354,Rap/Hip Hop
355,Dance
356,Films/Games
357,Dance
358,Dance
359,Pop
360,Dance
361,Rock
362,Film Scores
363,International Pop
364,Pop
365,Rap/Hip Hop
366,International Pop
367,Rap/Hip Hop
368,Pop
369,Rap/Hip Hop
370,Rap/Hip Hop
371,Dance
372,Reggae
373,Dance
374,Rap/Hip Hop
375,Dance
376,Dance
377,Rock
378,Alternative
379,Film Scores
380,Indie Rock
381,Dance
382,Indie Rock
